symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
601899.SS,cn_stock,C,v1,2016-12-13,71,1.8571428571428557,0,,-0.1711711711711712,,1.0466003135245845,-0.0326086956521739,0.0217391304347824,False,33.410967366391404,,2016,na,,na,2016-12-13,2016-11-30,0.4768211920529801,False,False
000596.SZ,cn_stock,C,v1,2016-12-13,71,0.9941176470588248,0,,-0.1237027812370278,,0.6713723155310222,-0.0478446234012315,0.2482235907153009,False,20.11985780720038,,2016,na,,na,2016-12-13,2016-11-30,0.9361400189214759,True,True
000768.SZ,cn_stock,C,v1,2016-12-13,71,3.4482758620689755,0,,-0.0518501060570352,,0.1841239162294732,0.1043997017151381,0.1352224707929408,False,13.768465838917228,,2016,na,,na,2016-12-13,2016-11-30,0.30700094607379375,False,False
603993.SS,cn_stock,C,v1,2016-12-13,71,2.4444444444444455,0,,-0.103026400515132,,0.4229510506330858,0.0143575017946877,0.3661162957645369,False,27.753547325880497,,2016,na,,na,2016-12-13,2016-11-30,0.3533585619678335,False,False
300124.SZ,cn_stock,C,v1,2016-12-13,71,4.586466165413536,0,,-0.0447302208554655,,0.2646570552656125,-0.0025363379182518,0.1977368061652522,False,24.082403328078055,,2016,na,,na,2016-12-13,2016-11-30,0.4389782403027436,False,False
002179.SZ,cn_stock,C,v1,2016-12-13,71,1.4732394366197157,0,,-0.0435708959198892,,0.2373332096543138,0.0585876587213187,0.1253063042993984,False,22.07847068377966,,2016,na,,na,2016-12-13,2016-11-30,0.5685903500473037,False,False
000568.SZ,cn_stock,C,v1,2016-12-13,71,1.436363636363637,1,,-0.0483237692540018,,1.888365785613787,0.0031735956839098,1.0076166296413835,True,24.18470601223778,,2016,na,,na,2016-12-13,2016-11-30,0.9635761589403974,True,True
002050.SZ,cn_stock,C,v3,2016-12-13,71,0.1266490765171505,2,,0.0355091383812011,,0.447929311277428,-0.0837115481593545,0.3663640948058495,False,12.893359099355605,,2016,na,,na,2016-12-13,2016-11-30,0.8533585619678334,True,True
300003.SZ,cn_stock,C,v1,2016-12-14,72,1.528571428571424,0,,-0.0299547621958674,,0.2093016866271936,-0.0762540962944291,-0.0541971262919083,True,16.407138358372617,,2016,na,,na,2016-12-14,2016-11-30,0.5307473982970672,False,False
002185.SZ,cn_stock,C,v1,2016-12-15,73,1.868995633187783,0,,-0.0291643297812675,,0.2222979642811465,-0.0606585788561524,0.0105911804352012,False,17.349894177544908,,2016,na,,na,2016-12-15,2016-11-30,0.5151371807000946,False,False
600111.SS,cn_stock,C,v1,2016-12-15,73,2.8000000000000043,0,,-0.0734413666480402,,0.1939865902014855,-0.0473851985870594,0.016369432239166,False,20.555881012850985,,2016,na,,na,2016-12-15,2016-11-30,0.3491012298959319,False,False
002281.SZ,cn_stock,C,v1,2016-12-15,73,5.343915343915344,0,,-0.045981790213279,,0.4410899412827315,-0.0396565999912842,0.098052032945483,False,20.2673850452468,,2016,na,,na,2016-12-15,2016-11-30,0.9602649006622517,True,True
002326.SZ,cn_stock,C,v1,2016-12-15,68,7.624999999999997,0,,-0.0605858854860186,,0.2617079100760021,-0.0489014883061658,0.0240963855421687,True,21.155385178980257,,2016,na,,na,2016-12-15,2016-11-30,0.2696310312204352,False,False
601689.SS,cn_stock,C,v1,2016-12-15,73,2.278195488721811,0,,-0.1086680761099365,,0.2866562066077656,0.0402277039848197,0.2427893738140418,False,34.655081802689544,,2016,na,,na,2016-12-15,2016-11-30,0.9422894985808893,True,True
600703.SS,cn_stock,C,v1,2016-12-16,73,0.671428571428573,3,,0.0384168676851603,,0.2175655935257849,0.1118471995181966,0.2589692850382861,False,23.29476049084253,,2016,na,,na,2016-12-16,2016-11-30,0.23935666982024598,False,False
000725.SZ,cn_stock,C,v1,2016-12-19,75,4.0,3,,0.0379686758424298,,0.3391702298289106,0.1554641060813901,0.2149062642889805,False,49.17301784413512,,2016,na,,na,2016-12-19,2016-11-30,0.2800378429517502,False,False
600660.SS,cn_stock,C,v1,2016-12-19,75,1.2272727272727264,0,,-0.0094043887147334,,0.7973277272863079,0.0585443037974684,0.5569620253164556,False,21.206140287257835,,2016,na,,na,2016-12-19,2016-11-30,0.913434247871334,True,True
601688.SS,cn_stock,C,v1,2016-12-21,77,1.7200000000000024,0,,-0.1244917109790428,,0.2823312190963051,-0.0014290818149338,-0.0871739907109681,False,29.257841960693227,,2016,na,,na,2016-12-21,2016-11-30,0.6759697256385998,False,False
000625.SZ,cn_stock,C,v1,2016-12-21,77,4.533783783783762,0,,-0.0235546038543896,,0.235692980913411,0.0026629072681703,0.0396303258145362,False,25.844451659091053,,2016,na,,na,2016-12-21,2016-11-30,0.7360454115421002,False,True
000001.SZ,cn_stock,C,v1,2016-12-21,78,7.625000000000082,0,,-0.0469483568075117,,0.1895173181811646,0.0033973161202651,0.0067946322405298,False,22.500926620549208,,2016,na,,na,2016-12-21,2016-11-30,0.467833491012299,False,False
300122.SZ,cn_stock,C,v1,2016-12-21,77,9.059880239520968,0,,-0.1150525330281909,,0.3290566005749323,-0.2374515105207475,0.0712354531562242,False,20.705572825064554,,2016,na,,na,2016-12-21,2016-11-30,0.7374645222327342,False,True
002555.SZ,cn_stock,C,v1,2016-12-21,70,8.87499999999999,0,,-0.1557680444170265,,0.4153869228155362,-0.0520643039824625,0.3717573986116185,False,34.52911604750556,,2016,na,,na,2016-12-21,2016-11-30,0.3268684957426679,False,False
600196.SS,cn_stock,C,v1,2016-12-26,80,1.3265306122448897,0,,-0.0632504817907791,,0.2094650967483831,0.1060294350371893,0.2827451600991717,False,29.72821266604698,,2016,na,,na,2016-12-26,2016-11-30,0.5558183538315988,False,False
