,equity
2003-10-30,2.945776
2003-11-06,2.976294
2003-11-13,2.977282
2003-11-20,2.909271
2003-11-28,2.976705
2003-12-05,2.98577
2003-12-12,3.02049
2003-12-19,3.060373
2003-12-29,3.117562
2004-01-06,3.156539
2004-01-13,3.14981
2004-01-21,3.222325
2004-01-28,3.169751
2004-02-04,3.164368
2004-02-11,3.250178
2004-02-19,3.220787
2004-02-26,3.214882
2004-03-04,3.24224
2004-03-11,3.110146
2004-03-18,3.152831
2004-03-25,3.116765
2004-04-01,3.179887
2004-04-08,3.199527
2004-04-16,3.186589
2004-04-23,3.203043
2004-04-30,3.111574
2004-05-07,3.087951
2004-05-14,3.062763
2004-05-21,3.060637
2004-05-28,3.099105
2004-06-07,3.153694
2004-06-15,3.130437
2004-06-22,3.137074
2004-06-29,3.142024
2004-07-07,3.092606
2004-07-14,3.073636
2004-07-21,2.999122
2004-07-28,2.996123
2004-08-04,2.996123
2004-08-11,2.996123
2004-08-18,2.996123
2004-08-25,2.996123
2004-09-01,2.996123
2004-09-09,2.993314
2004-09-16,3.007018
2004-09-23,2.977433
2004-09-30,2.977433
2004-10-07,2.972221
2004-10-14,2.924605
2004-10-21,2.924605
2004-10-28,2.927132
2004-11-04,3.016003
2004-11-11,3.046664
2004-11-18,3.072809
2004-11-26,3.070472
2004-12-03,3.092593
2004-12-10,3.084362
2004-12-17,3.100459
2004-12-27,3.128291
2005-01-03,3.120918
2005-01-10,3.090204
2005-01-18,3.10508
2005-01-25,3.033502
2005-02-01,3.088023
2005-02-08,3.121489
2005-02-15,3.141792
2005-02-23,3.091632
2005-03-02,3.141688
2005-03-09,3.133717
2005-03-16,3.084544
2005-03-23,3.044198
2005-03-31,3.065124
2005-04-07,3.092515
2005-04-14,3.016989
2005-04-21,2.996156
2005-04-28,2.962371
2005-05-05,2.967994
2005-05-12,2.93181
2005-05-19,2.973827
2005-05-26,2.990156
2005-06-03,2.986161
2005-06-10,2.991379
2005-06-17,3.038443
2005-06-24,2.975051
2005-07-01,2.982216
2005-07-11,3.044635
2005-07-18,3.048855
2005-07-25,3.068579
2005-08-01,3.084358
2005-08-08,3.053848
2005-08-15,3.080663
2005-08-22,3.050353
2005-08-29,3.026758
2005-09-06,3.079465
2005-09-13,3.073997
2005-09-20,3.049379
2005-09-27,3.024428
2005-10-04,3.000434
2005-10-11,2.95281
2005-10-18,2.95281
2005-10-25,2.949295
2005-11-01,2.943683
2005-11-08,2.953095
2005-11-15,2.978346
2005-11-22,3.056427
2005-11-30,3.027953
2005-12-07,3.047073
2005-12-14,3.08432
2005-12-21,3.060208
2005-12-29,3.039924
2006-01-06,3.115121
2006-01-13,3.120356
2006-01-23,3.062704
2006-01-30,3.114491
2006-02-06,3.065612
2006-02-13,3.060377
2006-02-21,3.109257
2006-02-28,3.103513
2006-03-07,3.09193
2006-03-14,3.144274
2006-03-21,3.143668
2006-03-28,3.133975
2006-04-04,3.164752
2006-04-11,3.117835
2006-04-19,3.174445
2006-04-26,3.163492
2006-05-03,3.170059
2006-05-10,3.205755
2006-05-17,3.078455
2006-05-24,3.063491
2006-06-01,3.04975
2006-06-08,2.988571
2006-06-15,2.988571
2006-06-22,2.988571
2006-06-29,2.988571
2006-07-07,2.962938
2006-07-14,2.956279
2006-07-21,2.956279
2006-07-28,2.949774
2006-08-04,2.949408
2006-08-11,2.932209
2006-08-18,2.943805
2006-08-25,2.937993
2006-09-01,2.950825
2006-09-11,2.94158
2006-09-18,2.961677
2006-09-25,2.954604
2006-10-02,2.963742
2006-10-09,3.006797
2006-10-16,3.047758
2006-10-23,3.065478
2006-10-30,3.067504
2006-11-06,3.071623
2006-11-13,3.081952
2006-11-20,3.117749
2006-11-28,3.087072
2006-12-05,3.149494
2006-12-12,3.14237
2006-12-19,3.173514
2006-12-27,3.176386
2007-01-05,3.138252
2007-01-12,3.185046
2007-01-22,3.167726
2007-01-29,3.162539
2007-02-05,3.221243
2007-02-12,3.190923
2007-02-20,3.249494
2007-02-27,3.114499
2007-03-06,3.106418
2007-03-13,3.070446
2007-03-20,3.134009
2007-03-27,3.169102
2007-04-03,3.188878
2007-04-11,3.191317
2007-04-18,3.265906
2007-04-25,3.316742
2007-05-02,3.317851
2007-05-09,3.354801
2007-05-16,3.358261
2007-05-23,3.376315
2007-05-31,3.394813
2007-06-07,3.306317
2007-06-14,3.377845
2007-06-21,3.376115
2007-06-28,3.339564
2007-07-06,3.394413
2007-07-13,3.443341
2007-07-20,3.402531
2007-07-27,3.308384
2007-08-03,3.291875
2007-08-10,3.281316
2007-08-17,3.279509
2007-08-24,3.286058
2007-08-31,3.258834
2007-09-10,3.247359
2007-09-17,3.242058
2007-09-24,3.225979
2007-10-01,3.235439
2007-10-08,3.245722
2007-10-15,3.237687
2007-10-22,3.198605
2007-10-29,3.2242
2007-11-05,3.14523
2007-11-12,3.126658
2007-11-19,3.126658
2007-11-27,3.126658
2007-12-04,3.126658
2007-12-11,3.123025
2007-12-18,3.116417
2007-12-26,3.116996
2008-01-03,3.106281
2008-01-10,3.106281
2008-01-17,3.106281
2008-01-25,3.106281
2008-02-01,3.106281
2008-02-08,3.106281
2008-02-15,3.106281
2008-02-25,3.106281
2008-03-03,3.106281
2008-03-10,3.106281
2008-03-17,3.106281
2008-03-25,3.106281
2008-04-01,3.106281
2008-04-08,3.106281
2008-04-15,3.106281
2008-04-22,3.106281
2008-04-29,3.106281
2008-05-06,3.106281
2008-05-13,3.106281
2008-05-20,3.106281
2008-05-28,3.106281
2008-06-04,3.106281
2008-06-11,3.106281
2008-06-18,3.106281
2008-06-25,3.106281
2008-07-02,3.106281
2008-07-10,3.106281
2008-07-17,3.106281
2008-07-24,3.106281
2008-07-31,3.106281
2008-08-07,3.106281
2008-08-14,3.106281
2008-08-21,3.106281
2008-08-28,3.106281
2008-09-05,3.106281
2008-09-12,3.106281
2008-09-19,3.106281
2008-09-26,3.106281
2008-10-03,3.106281
2008-10-10,3.106281
2008-10-17,3.106281
2008-10-24,3.106281
2008-10-31,3.106281
