,equity
2006-11-13,4.616945
2006-11-20,4.705854
2006-11-28,4.628898
2006-12-05,4.705202
2006-12-12,4.665333
2006-12-19,4.6614
2006-12-27,4.664604
2007-01-05,4.670417
2007-01-12,4.801977
2007-01-22,4.664316
2007-01-29,4.683541
2007-02-05,4.740159
2007-02-12,4.701364
2007-02-20,4.821586
2007-02-27,4.619785
2007-03-06,4.579959
2007-03-13,4.525727
2007-03-20,4.610174
2007-03-27,4.65203
2007-04-03,4.679819
2007-04-11,4.696647
2007-04-18,4.792574
2007-04-25,4.86264
2007-05-02,4.881286
2007-05-09,4.915954
2007-05-16,4.861759
2007-05-23,4.917284
2007-05-31,4.968761
2007-06-07,4.850441
2007-06-14,4.959185
2007-06-21,4.992073
2007-06-28,4.975976
2007-07-06,5.084927
2007-07-13,5.160802
2007-07-20,5.124448
2007-07-27,4.93157
2007-08-03,4.897198
2007-08-10,4.87535
2007-08-17,4.822028
2007-08-24,4.850514
2007-08-31,4.843327
2007-09-10,4.827988
2007-09-17,4.836983
2007-09-24,4.879813
2007-10-01,4.988245
2007-10-08,5.069734
2007-10-15,5.056873
2007-10-22,4.952232
2007-10-29,5.025688
2007-11-05,5.008421
2007-11-12,4.912308
2007-11-19,4.927121
2007-11-27,4.903283
2007-12-04,4.891303
2007-12-11,4.855259
2007-12-18,4.868282
2007-12-26,4.886565
2008-01-03,4.839674
2008-01-10,4.839674
2008-01-17,4.839674
2008-01-25,4.839674
2008-02-01,4.839674
2008-02-08,4.839674
2008-02-15,4.839674
2008-02-25,4.839674
2008-03-03,4.839674
2008-03-10,4.839674
2008-03-17,4.839674
2008-03-25,4.839674
2008-04-01,4.839674
2008-04-08,4.839674
2008-04-15,4.839674
2008-04-22,4.839674
2008-04-29,4.839674
2008-05-06,4.839674
2008-05-13,4.839674
2008-05-20,4.819672
2008-05-28,4.819672
2008-06-04,4.807109
2008-06-11,4.775529
2008-06-18,4.775529
2008-06-25,4.775529
2008-07-02,4.775529
2008-07-10,4.775529
2008-07-17,4.775529
2008-07-24,4.775529
2008-07-31,4.775529
2008-08-07,4.775529
2008-08-14,4.76922
2008-08-21,4.740418
2008-08-28,4.740418
2008-09-05,4.740418
2008-09-12,4.740418
2008-09-19,4.740418
2008-09-26,4.740418
2008-10-03,4.740418
2008-10-10,4.740418
2008-10-17,4.740418
2008-10-24,4.740418
2008-10-31,4.740418
2008-11-07,4.740418
2008-11-14,4.740418
2008-11-21,4.740418
2008-12-01,4.740418
2008-12-08,4.740418
2008-12-15,4.740418
2008-12-22,4.740418
2008-12-30,4.740418
2009-01-07,4.740418
2009-01-14,4.740418
2009-01-22,4.740418
2009-01-29,4.740418
2009-02-05,4.740418
2009-02-12,4.740418
2009-02-20,4.740418
2009-02-27,4.740418
2009-03-06,4.740418
2009-03-13,4.740418
2009-03-20,4.740418
2009-03-27,4.740418
2009-04-03,4.740418
2009-04-13,4.740418
2009-04-20,4.740418
2009-04-27,4.740418
2009-05-04,4.740418
