module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,^IXIC,2026-01-28,2026-01-29,23830.919921875,23694.380859375,2026-01-30,structure_stop_C,1,-2.019860831378382,False,ohlcv,-6.784430966413,-5.598758368140985,-8.409237855467186,-1.0678320077816559,-1.0678320077816559,-1.0678320077816559,1.1856725982720147
A,^IXIC,2026-05-21,2026-05-22,26381.560546875,25928.330078125,2026-06-08,structure_stop_C,10,-0.7565064984874206,False,ohlcv,1.3041016315168021,-1.4829780999250175,-1.087130581674955,1.3041016315168021,1.57169451937911,1.57169451937911,-2.7870797314418194
A,^IXIC,2026-06-30,2026-07-01,26039.509765625,25289.759765625,2026-07-06,exit_a6_1_costbasis,2,-0.08794918358202909,False,ohlcv,-0.22522090696898966,0.3063964029676559,-0.46496748916305436,0.10890348866288763,0.3229071148716239,0.3229071148716239,0.5316173099366456
A,^KS11,2020-12-28,2020-12-29,2810.550048828125,2762.60009765625,2021-02-19,exit_a6_1_costbasis,34,5.768501433277493,False,ohlcv,3.2880098572832392,7.043594038787595,6.33994389087743,3.75433165481179,7.124718054204875,7.124718054204875,3.755584181504356
A,^KS11,2021-05-06,2021-05-07,3179.6298828125,3109.780029296875,2021-05-13,exit_a6_1_costbasis,4,-0.5130940179304794,False,ohlcv,-0.8234773946627986,-0.332283602174027,0.13028084095000086,0.9974275178693137,0.9974275178693137,0.9974275178693137,0.4911937924887716
A,^KS11,2021-05-10,2021-05-11,3239.919921875,3179.6298828125,2021-05-13,structure_stop_C,2,-1.5954521275734181,False,ohlcv,-1.7482141989406677,-1.1378306364092845,-0.29938286602847564,-0.5057218523737791,-0.5057218523737791,-0.29938286602847564,0.6103835625313832
A,^KS11,2021-05-18,2021-05-20,3174.530029296875,3121.320068359375,2021-05-21,exit_a6_1_costbasis,1,-0.10890154991099052,False,ohlcv,-0.1146420247031402,0.9340347238790905,0.7827463431644246,-0.060326316369042156,0.9340347238790905,1.4581872740286674,1.0486767485822306
A,^KS11,2021-06-14,2021-06-15,3253.169921875,3226.97998046875,2021-07-12,structure_stop_C,19,-1.1039765833286714,False,ohlcv,-0.472696086656599,1.8602550478214666,1.5288327087644722,0.974038443611686,1.8965359733020117,1.8965359733020117,2.3329511344780656
A,^KS11,2021-06-24,2021-06-25,3289.179931640625,3263.070068359375,2021-07-09,structure_stop_C,10,-1.7981362650309491,False,ohlcv,-0.27268902062723244,-1.3979391468591627,-0.11336562377274513,0.5231799225777495,0.6139453556000224,0.6139453556000224,-1.12525012623193
A,^KS11,2021-07-13,2021-07-14,3270.090087890625,3227.510009765625,2021-07-21,exit_a6_1_costbasis,5,-0.5220820661896259,False,ohlcv,-0.8781133892940691,-0.8821040319251411,-0.7738406495114903,0.3788128984908949,0.3788128984908949,0.3788128984908949,-0.003990642631071969
