,S0,S2_v1,S3
2015-05-31,9037222.310195953,3978934.6181799034,1863671.5542573081
2015-06-30,8847335.159406217,3927257.5909476695,1863671.5542573081
2015-07-31,9021999.51054616,3985272.5747469543,1890508.5540938354
2015-08-31,8457395.398872163,3870330.0500095496,1969365.96504462
2015-09-30,8233757.919271526,3782259.3359795213,1917290.353102368
2015-10-31,8917020.82272741,3983142.488999093,2013573.9720857935
2015-11-30,8921522.751097018,3996384.5292857084,2013573.9720857935
2015-12-31,8765126.80649691,3989556.1486366224,2046967.0396238822
2016-01-31,8320425.275186916,3881276.117653417,2064599.0311438444
2016-02-29,8286075.561726804,3873232.540249318,2069161.0814071738
2016-03-31,8832882.92237969,3958271.234832084,2069161.0814071738
2016-04-30,8856726.391377237,3951753.0103019304,2069161.0814071738
2016-05-31,8992452.203000326,3986952.810570618,2069161.0814071738
2016-06-30,9000643.618712842,4033701.0752617563,2170853.65191221
2016-07-31,9321154.744626805,4078941.6599974106,2159109.8503539925
2016-08-31,9309789.99289376,4077607.7965086345,2159109.8503539925
2016-09-30,9298297.512030227,4073089.650302612,2145096.4057970666
2016-10-31,9117671.770160852,4025084.2876621094,2144743.2465099283
2016-11-30,9429263.843102561,4120787.6277708886,2182034.482914006
2016-12-31,9600883.634312548,4169643.8025891846,2182034.482914006
2017-01-31,9772589.27624958,4199264.440208234,2182034.482914006
2017-02-28,10136111.616414765,4261311.48543432,2182034.482914006
2017-03-31,10132166.670810884,4268011.371441766,2182034.482914006
2017-04-30,10224280.313093415,4291050.698601945,2182034.482914006
2017-05-31,10342639.150810676,4314893.233980015,2182034.482914006
2017-06-30,10392426.290738199,4323317.965951165,2182034.482914006
2017-07-31,10593507.538766969,4356660.128516892,2182034.482914006
2017-08-31,10599296.181082217,4359446.0096397465,2182034.482914006
2017-09-30,10803894.168039711,4392324.070684843,2182034.482914006
2017-10-31,11043612.431080582,4431123.421753108,2182034.482914006
2017-11-30,11353746.088622555,4480702.228115309,2182034.482914006
2017-12-31,11465371.926027035,4498309.845040817,2182034.482914006
2018-01-31,12109481.663148446,4598293.446008399,2182034.482914006
2018-02-28,11637849.177547418,4588938.311906362,2230425.2708456297
2018-03-31,11324971.437620156,4522598.138688494,2265009.624902585
2018-04-30,11355761.48678802,4521496.532825947,2295569.504452581
2018-05-31,11601140.663013648,4572743.057916417,2295569.504452581
2018-06-30,11657318.447305845,4582110.813773357,2295569.504452581
2018-07-31,12077233.198580846,4666199.35718217,2295569.504452581
2018-08-31,12442729.058508057,4722552.348047119,2295569.504452581
2018-09-30,12496161.713454878,4730740.570071428,2295569.504452581
2018-10-31,11628886.152251555,4541279.434517122,2262981.738769171
2018-11-30,11836570.577542445,4632223.9978958145,2347688.4197014323
2018-12-31,10750246.88627527,4397113.8281192975,2254493.1870699963
2019-01-31,11596123.63028175,4631003.807928647,2321465.3556810766
2019-02-28,11940863.506504895,4688382.502550895,2321465.3556810766
2019-03-31,12154894.603836847,4722087.663410692,2321465.3556810766
2019-04-30,12632746.03234845,4795850.411572034,2321465.3556810766
2019-05-31,11801792.657407178,4647886.434236724,2321465.3556810766
2019-06-30,12615292.160755487,4887664.569941023,2440595.7617057688
2019-07-31,12780907.635872517,4922181.6503693145,2440595.7617057688
2019-08-31,12549680.219128747,4931889.308012793,2481363.1515819444
2019-09-30,12765298.507951008,4975541.639730864,2463011.8558108006
2019-10-31,13026116.157604137,5049147.923573648,2463011.8558108006
2019-11-30,13469616.825695543,5117399.251733891,2463011.8558108006
2019-12-31,13854710.73147175,5175714.699423386,2463011.8558108006
2020-01-31,13832153.976419842,5172865.237951698,2463011.8558108006
2020-02-29,12668724.815702308,5030891.402675412,2463011.8558108006
2020-03-31,11083623.057725454,4281146.537310904,2060000.7342884114
2020-04-30,12489514.563869147,4743054.055014181,2249023.419012248
2020-05-31,13055062.510060633,4834029.28732733,2249023.419012248
2020-06-30,13295124.176009696,4882272.331403311,2249023.419012248
2020-07-31,14027703.087354423,5014406.950263506,2249023.419012248
2020-08-31,15010549.43156611,5152804.899943931,2249023.419012248
2020-09-30,14421716.046102889,5069676.047231772,2256673.092779556
2020-10-31,14022727.933025964,5078194.113069595,2286128.4794422872
2020-11-30,15530811.119239593,5440248.957537891,2450831.5833929298
2020-12-31,16107337.488892408,5520662.30464102,2450831.5833929298
2021-01-31,15927955.535605151,5497509.394716768,2450831.5833929298
2021-02-28,16343539.013004554,5595021.588969582,2450831.5833929298
2021-03-31,17037136.459468905,5708246.432426005,2450831.5833929298
2021-04-30,17930313.813198764,5797053.458879482,2450831.5833929298
2021-05-31,18028688.27679531,5806049.107030645,2450831.5833929298
2021-06-30,18429177.730635494,5893953.005655611,2487769.6374697755
2021-07-31,18848405.676094107,5975804.267303713,2487769.6374697755
2021-08-31,19394828.802395444,6054308.1175151,2487769.6374697755
2021-09-30,18472232.917210322,5894805.540209021,2487769.6374697755
2021-10-31,19749473.967991814,6142044.061736174,2521639.824579436
2021-11-30,19584887.654639278,6098073.033133519,2521639.824579436
2021-12-31,20439041.665085323,6290492.962795541,2521639.824579436
2022-01-31,19364251.28612503,6169252.513407677,2581917.2042412166
2022-02-28,18756978.839627963,6014504.036624105,2500947.010552608
2022-03-31,19427977.652636968,6181483.006841813,2549554.128756346
2022-04-30,17719156.62130276,5881935.595752223,2549554.128756346
2022-05-31,17720098.88538012,5910141.020226244,2534033.6073224647
2022-06-30,16233028.188091615,5559609.433970522,2327415.3462301358
2022-07-31,17712123.14344531,5914240.242347777,2437765.439671811
2022-08-31,16960418.36525035,5884346.927365784,2437765.439671811
2022-09-30,15376388.694401512,5562989.979916355,2356113.1425543344
2022-10-31,16604399.588021208,5982313.656451661,2543008.241314214
2022-11-30,17496934.108258292,6120863.414726783,2543008.241314214
2022-12-31,16465114.112105869,6007071.294185902,2543008.241314214
2023-01-31,17481881.96310251,6167947.305662997,2543008.241314214
2023-02-28,17025386.426424228,6099785.566369667,2543008.241314214
2023-03-31,17622153.675418817,6339978.335633885,2710233.344049469
2023-04-30,17880183.270363048,6399842.512712572,2718897.952064162
2023-05-31,17924568.096247043,6401059.294422108,2702289.226210115
2023-06-30,19084779.948620435,6693666.831029652,2761653.4771748376
