,S0,S2_v1,S3
2023-10-31,700153.06312433,809272.8228768263,882023.0303456038
2023-11-01,699863.0075238071,809004.7560541203,881657.630644858
2023-11-02,696562.64515029,805954.5903146826,877499.9745904257
2023-11-03,702432.351390601,811379.3209498464,884894.3806967349
2023-11-06,711931.6723077255,820075.5764662735,896412.7902857128
2023-11-07,709413.284154537,818334.8385099766,896412.7902857128
2023-11-08,707710.1874190343,817157.6390671579,896412.7902857128
2023-11-09,708055.1184034399,817396.0592074756,896412.7902857128
2023-11-10,702892.912648188,813827.885062039,896412.7902857128
2023-11-13,701505.349370011,812867.3693829727,896412.7902857128
2023-11-14,702024.705681758,813228.4516198551,896412.7902857128
2023-11-15,706961.5303960631,816660.7767319565,896412.7902857128
2023-11-16,700123.66559725,811906.7543754176,896412.7902857128
2023-11-17,699282.8963227613,811322.2099240117,896412.7902857128
2023-11-20,700899.7603121626,812365.1730177954,896412.7902857128
2023-11-21,701830.68200303,812796.8033065703,896412.7902857128
2023-11-22,694647.8862198112,809466.4348679183,896412.7902857128
2023-11-23,697999.2043069337,811020.3039075076,896412.7902857128
2023-11-24,693391.6318959249,808883.9611519085,896412.7902857128
2023-11-27,688282.3416894171,806513.2535660247,896412.7902857128
2023-11-28,689571.9132106607,807117.690845695,896412.7902857128
2023-11-29,683651.2512567443,804342.6072258104,896412.7902857128
2023-11-30,685197.5611811534,805067.3808028011,896412.7902857128
2023-12-01,682587.0607764475,803843.8086804291,896412.7902857128
2023-12-04,678130.3956711161,801753.4903815326,896412.7902857128
2023-12-05,665219.0017775705,795647.4236943838,896412.7902857128
2023-12-06,666265.5537416192,796142.3598830507,896412.7902857128
2023-12-07,664634.9709062474,795371.2233493973,896412.7902857128
2023-12-08,666238.116049678,796129.3840279169,896412.7902857128
2023-12-11,670155.8264918755,797901.2214401049,896412.7902857128
2023-12-12,671596.3053187967,798930.3639293658,896412.7902857128
2023-12-13,660388.0081607535,790922.6552272125,896412.7902857128
2023-12-14,656928.8991410043,788451.3130591236,896412.7902857128
2023-12-15,654888.7107616508,786993.7112478032,896412.7902857128
2023-12-18,652501.6315627529,785285.7768122783,896412.7902857128
2023-12-19,653416.874572511,785946.6759454159,896412.7902857128
2023-12-20,646255.6369758176,780775.5294090468,896412.7902857128
2023-12-21,652795.6068335532,785498.0570477615,896412.7902857128
2023-12-22,654042.0619817461,786398.12524621,896412.7902857128
2023-12-25,656045.0134934649,787766.1892908907,896412.7902857128
2023-12-26,651604.0270692429,783499.6447887917,890344.6746072489
2023-12-27,653871.556324682,785678.1055076481,893443.0019858821
2023-12-28,669193.5474387894,800398.2488957375,914378.8044458253
2023-12-29,672440.9942635626,803518.136027237,918816.0805619836
2024-01-02,663668.7721828839,795089.7230427221,906829.8114636585
2024-01-03,662091.1048962561,793577.6576227652,904674.1039962431
2024-01-04,655966.6200879182,787707.8384459135,896305.6743867109
2024-01-05,652450.6758491476,784338.0926528666,891501.5263164706
2024-01-08,644013.5855771812,776249.9462710024,879973.1776863791
2024-01-09,645275.7194064836,777466.9810868296,881697.7436603114
2024-01-10,642263.4527983506,774562.3498571303,877581.8152411592
2024-01-11,645896.9871454414,778066.0494666699,882546.6371599024
2024-01-12,643643.176735973,775892.7730098357,879467.0550635946
2024-01-15,643006.2303159059,775278.4898024632,878596.7383842032
2024-01-16,646918.0612526875,779051.7145272975,883941.8217444036
2024-01-17,632846.4449570501,765478.6917195269,864714.5178735424
2024-01-18,641793.0923650702,774108.336443409,876939.119847147
2024-01-19,640822.9739714295,773172.5918347952,875613.5605969973
2024-01-22,630851.332785886,763554.2714941354,861988.4182439413
2024-01-23,633404.9979715706,766645.1137562648,865477.7186539317
2024-01-24,642259.5331280733,777362.2475554214,877576.459446209
2024-01-25,655157.2081756482,792973.0172615412,895199.702729515
2024-01-26,653373.7581994603,790814.409081543,892762.8160272193
2024-01-29,647521.6904753972,783731.3277348671,884766.6141667191
2024-01-30,635974.3418383646,769754.9327936032,868988.4422437227
2024-01-31,630155.5913116588,762712.1770942459,861037.7646402983
2024-02-01,630618.1124043845,763271.9919629048,861669.7484444103
2024-02-02,623155.0601963364,754239.0469635272,851472.3148594188
2024-02-05,627229.5574496273,759170.636420908,857039.6637100483
2024-02-06,649036.6430375876,785564.9586394151,886836.628914933
2024-02-07,655296.3564704937,793141.4361415191,895389.8334502437
2024-02-08,659470.8053158568,798194.0025408559,901093.7550721007
2024-02-19,667090.6443349986,807416.7152923213,911505.4204550963
2024-02-20,668470.3682726208,809086.6715106936,913390.6602775317
2024-02-21,677489.5295807717,820003.0614495423,925714.3444577132
2024-02-22,683329.8382940027,827071.9102148116,933694.4789333631
2024-02-23,683931.5076815737,827800.1439634484,934516.5934582035
2024-02-26,676801.6274470992,819170.4554372573,924774.4024439706
2024-02-27,684921.2244266012,828998.0528985024,935868.9316831039
2024-02-28,676194.0785541121,818435.1053979172,923944.2542267051
2024-02-29,689093.7134368257,834048.247200938,941570.175407486
2024-03-01,693350.475358013,839200.4416701209,947386.5687232953
2024-03-04,693952.144745584,839844.6825512159,948208.6832481357
2024-03-05,698781.1785272623,844520.5599626584,954807.0226266597
2024-03-06,695947.2569167482,841776.5182674694,950934.782877737
2024-03-07,691766.928565969,837728.7721154372,945222.8275634546
2024-03-08,694743.9181416059,840611.3442696504,949290.5538280561
2024-03-11,703435.7869815992,849026.5921914435,961167.0291299042
2024-03-12,705048.7313007229,850584.0155461706,963370.9387518705
2024-03-13,700123.66559725,845828.4810499017,956641.3823970691
2024-03-14,698136.3927666404,843909.6143649765,953925.9943573681
2024-03-15,699659.1846693855,845379.9885407031,956006.7206954822
2024-03-18,706232.4717244785,851641.5659905601,964505.8946323876
2024-03-19,701156.498715328,847968.5460013745,964505.8946323876
2024-03-20,702675.3709477959,849067.6156892582,964505.8946323876
2024-03-21,701834.6016733072,848459.2274362232,964505.8946323876
2024-03-22,694761.556657854,843341.1080767749,964505.8946323876
2024-03-25,690990.8338510565,840530.6978485298,964505.8946323876
2024-03-26,694516.5772655205,842246.3699640641,964505.8946323876
2024-03-27,686489.0925375357,838340.0925959548,964505.8946323876
2024-03-28,690050.1129844957,840072.9309694545,964505.8946323876
2024-03-29,693287.7606335755,841648.411978272,964505.8946323876
2024-04-01,704688.121635208,847193.9583848985,964505.8946323876
2024-04-02,701754.2484326218,845783.0842746897,964505.8946323876
2024-04-03,699229.9807740173,844569.1859086583,964505.8946323876
2024-04-08,693078.058273738,841609.1053249335,964505.8946323876
2024-04-09,692505.7864132469,841331.1394242336,964505.8946323876
2024-04-10,686865.38088416,838591.46181391,964505.8946323876
2024-04-11,686773.2686326426,838546.7207271536,964505.8946323876
2024-04-12,681207.3368388251,835843.2167614417,964505.8946323876
2024-04-15,695561.1693944305,842731.2914367977,964505.8946323876
2024-04-16,688119.6753729077,837321.152433944,964505.8946323876
2024-04-17,698759.6203407369,845056.6395676003,964505.8946323876
2024-04-18,699621.947801751,845683.5716616893,964505.8946323876
2024-04-19,694106.9717215388,841674.0559508569,964505.8946323876
2024-04-22,691998.1891123318,840056.415021396,964505.8946323874
2024-04-23,687161.3159900989,835358.5356240189,957764.2691319407
2024-04-24,690179.4621036479,838289.9514554454,961970.9560325436
2024-04-25,691876.6793337344,839938.3969814295,964336.5345104152
2024-04-26,702457.8292474037,850215.4840423851,979084.52319636
2024-04-29,710226.6157370842,857673.4441669473,989417.6882208349
2024-04-30,706401.0175464039,854901.273467528,989417.6882208349
2024-05-06,716884.1757031399,862496.768534822,989417.6882208349
2024-05-07,717105.6370738094,862656.6353104018,989417.6882208349
2024-05-08,711463.2717095837,858583.5694086842,989417.6882208349
2024-05-09,718193.3455757701,863441.8216860368,989417.6882208349
2024-05-10,718530.4372196211,863685.1587249723,989417.6882208349
2024-05-13,718218.8234325729,863460.0204526576,989417.6882208349
2024-05-14,716721.5093866304,862379.955940133,989417.6882208349
2024-05-15,710647.9802918978,857998.9089187792,989417.6882208349
2024-05-16,713450.5445401933,860020.4956372483,989417.6882208349
2024-05-17,720821.4844967241,865337.4100765225,989417.6882208349
2024-05-20,723367.310341854,867173.059672913,989417.6882208349
2024-05-21,720466.7543366252,865086.7451731388,989417.6882208349
2024-05-22,722091.457666581,866255.3632274042,989417.6882208349
2024-05-23,713730.8009650228,860241.7026490011,989417.6882208349
2024-05-24,705830.7055210515,854559.3149810352,989417.6882208349
2024-05-27,712539.2212007126,859297.126170862,989417.6882208349
2024-05-28,707337.8187426873,854278.44913216,982195.1249676105
2024-05-29,708190.347028008,855101.0280740724,983378.9286658594
2024-05-30,704425.5037266265,851468.4438271446,978151.1426788796
2024-05-31,701605.300962083,848747.314867577,974235.0656173159
2024-06-03,703335.835389527,850416.202561666,976638.0510553706
