,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
2005-07-31,5241176.363341009,4044297.9591738107,4259837.9103667615,4186732.6712041073,4113627.432041454,4342059.439204088
2005-08-31,5182359.333971886,3998912.424448057,4212034.248706452,4138929.0095437975,4065823.7703811442,4292701.87419561
2005-09-30,5218371.675001708,4026700.964126035,4241303.352988843,4168198.1138261887,4095092.8746635355,4322922.398464727
2005-10-31,5125793.691510485,3955264.14846824,4166060.4063885594,4092955.167225905,4019849.928063252,4245233.6085422505
2005-11-30,5306150.363076932,4094434.4545547534,4312645.662363221,4239540.423200567,4166435.184037913,4396583.757249811
2005-12-31,5301097.054401713,4090535.122697653,4308538.575338149,4235433.336175496,4162328.0970128416,4392343.165466781
2006-01-31,5436098.880943184,4194707.845330166,4418261.587682261,4345156.348519607,4272051.109356953,4505632.828362982
2006-02-28,5438562.291163191,4196608.709608473,4420263.729408066,4347158.490245412,4274053.2510827575,4507700.051603951
2006-03-31,5498907.547242875,4243173.484210584,4469309.460472347,4396204.2213096935,4323098.982147039,4558340.060660067
2006-04-30,5565750.358814472,4294752.028354847,4523636.093134111,4450530.853971457,4377425.6148088025,4614432.632027273
2006-05-31,5393674.519498531,4161971.538341921,4383781.100612312,4310675.861449658,4237570.622287003,4470031.520367531
2006-06-30,5394141.592858848,4162331.950529369,4384160.715447107,4311055.476284454,4237950.237121799,4470423.474942471
2006-07-31,5421575.543248795,4183501.0663695033,4406457.715083325,4333352.475920672,4260247.236758017,4493445.259693164
2006-08-31,5536915.188343574,4272501.6759523675,4500200.248993506,4427095.009830852,4353989.770668197,4590234.983551761
2006-09-30,5672936.696682762,4377461.225191663,4610752.009817133,4537646.770654479,4464541.531491824,4704380.334182598
2006-10-31,5851679.606461565,4515386.289169933,4756025.6775779,4682920.438415246,4609815.1992525915,4854376.260257764
2006-11-30,5948037.203571071,4589739.603450022,4834340.512924572,4761235.273761919,4688130.034599264,4935236.793582997
2006-12-31,6023076.349104904,4647642.761463039,4895328.732881516,4822223.4937188625,4749118.254556208,4998207.493456718
2007-01-31,6107755.038628856,4712984.17100281,4964151.512053809,4891046.272891155,4817941.033728501,5069267.42232156
2007-02-28,5974323.947139285,4610023.489355834,4855705.11785557,4782599.878692917,4709494.639530262,4957295.875254511
